,A43ml,A1ml,V43ml,V1ml,Age 0,Age 1,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8+,1+
1991 - 37G1,828.81,32.18,1.68,0.03,501.69,44.2,2.49,0.1,0.16,0.18,0.0,0.0,0.0,47.13
1991 - 37G2,4.0,0.0,0.0,0.0,61.63,5.71,1.73,1.11,0.12,0.0,0.02,0.0,0.0,8.69
1991 - 37G5,0.0,0.0,0.0,0.0,64.0,42.81,34.18,27.27,5.18,5.18,1.73,1.73,3.45,121.53
1991 - 38F9,0.0,0.0,0.0,0.0,44.97,10.42,1.67,0.18,0.21,0.0,0.0,0.0,0.0,12.48
1991 - 38G0,436.89,19.77,1.71,0.06,1077.22,55.09,4.64,0.81,0.61,0.0,0.0,0.0,0.0,61.15
1991 - 38G1,3.99,0.0,0.0,0.0,469.77,24.02,2.02,0.35,0.27,0.0,0.0,0.0,0.0,26.66
1991 - 38G2,31.75,0.0,0.02,0.0,53.19,229.18,82.55,37.15,3.35,0.68,0.34,0.0,0.0,353.25
1991 - 38G3,1683.64,859.51,14.43,1.43,553.4,1215.89,336.9,285.34,66.16,21.93,11.03,0.99,4.25,1942.49
1991 - 38G4,591.01,55.36,2.7,0.03,483.49,237.55,37.09,22.28,2.99,0.36,0.12,0.18,0.19,300.76
1991 - 38G5,955.09,308.57,8.33,1.05,147.0,61.98,41.98,42.98,8.0,15.99,2.0,5.0,2.0,179.93
1991 - 38G6,0.0,0.0,0.0,0.0,158.0,13.11,7.15,7.15,1.19,2.38,0.0,0.0,0.0,30.98
1991 - 38G8,55.68,0.0,0.26,0.0,469.0,187.0,102.74,80.8,17.32,92.35,3.46,9.23,20.78,513.68
1991 - 38G9,1337.21,0.0,15.04,0.0,1057.0,225.63,172.6,103.98,40.55,22.87,24.95,3.12,34.31,628.01
1991 - 39F9,15.78,0.0,0.05,0.0,28.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991 - 39G0,207.42,0.0,0.85,0.0,554.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991 - 39G1,47.09,0.0,0.08,0.0,260.97,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1991 - 39G2,11.7,0.0,0.02,0.0,,,,,,,,,,
1991 - 39G3,1828.58,185.26,17.12,0.18,72.79,445.02,208.36,263.28,89.16,31.95,18.31,2.23,14.42,1072.73
1991 - 39G4,1926.34,0.0,19.7,0.0,,,,,,,,,,
1991 - 39G5,3106.7,1987.46,80.38,17.48,43.0,60.52,38.07,43.08,10.02,20.04,3.01,6.01,2.0,182.75
1991 - 39G6,826.81,298.01,13.92,1.79,51.0,105.99,84.99,111.99,50.0,37.0,11.0,10.0,10.0,420.97
1991 - 39G7,1202.43,0.0,14.07,0.0,17.0,194.84,98.41,126.65,55.67,44.73,11.93,12.92,7.95,553.1
1991 - 39G8,1509.65,23.41,19.69,0.07,187.0,169.0,205.88,201.8,95.43,190.87,73.56,131.22,79.53,1147.29
1991 - 39G9,2588.35,0.0,23.84,0.0,1120.0,297.73,279.34,215.72,69.59,151.1,41.75,48.71,107.36,1211.3
1991 - 39H0,0.0,0.0,0.0,0.0,258.94,47.41,45.34,41.23,13.39,47.41,8.24,16.49,26.8,246.31
1991 - 40F9,0.0,0.0,0.0,0.0,25.8,1.48,0.38,0.09,0.06,0.0,0.0,0.0,0.0,2.01
1991 - 40G0,545.61,0.0,2.28,0.0,1081.04,62.15,16.07,3.8,2.51,0.0,0.0,0.0,0.0,84.53
1991 - 40G2,290.33,0.0,1.18,0.0,35.45,40.34,95.07,96.92,37.37,24.94,6.31,1.3,0.0,302.25
1991 - 40G4,571.91,7.78,7.37,0.0,8.95,230.87,467.21,519.62,173.99,75.8,35.22,16.63,11.2,1530.54
1991 - 40G5,774.77,97.41,10.02,0.38,6.0,131.99,125.99,207.08,130.99,66.99,34.0,23.0,34.0,754.04
1991 - 40G6,447.52,3.9,3.9,0.0,4.0,114.32,109.35,181.13,113.33,57.66,28.83,19.88,28.83,653.33
1991 - 40G7,0.0,0.0,0.0,0.0,1.0,2.11,10.65,7.38,5.27,12.65,4.22,2.11,5.27,49.66
1991 - 40G8,2360.32,58.45,48.37,0.29,5.0,50.7,187.19,209.76,101.4,166.02,101.4,161.05,59.65,1037.17
1991 - 40G9,1668.6,73.21,20.74,0.17,419.0,156.08,177.95,147.13,43.74,169.99,39.76,76.55,100.41,911.61
1991 - 40H0,0.0,0.0,0.0,0.0,304.0,139.1,138.09,114.91,39.31,111.88,20.16,60.48,79.63,703.56
1991 - 41G7,0.0,0.0,0.0,0.0,0.0,12.12,109.09,86.87,19.19,33.33,1.01,13.13,24.24,298.98
1991 - 41G8,1779.87,49.62,58.24,0.12,3.0,12.55,65.24,48.93,30.11,80.05,25.09,11.29,32.62,305.88
1991 - 41G9,2437.24,1108.15,101.98,8.74,629.0,132.21,305.17,193.84,64.61,256.46,125.25,90.46,130.22,1298.22
1991 - 41H0,87.48,0.0,0.0,0.0,134.0,115.26,182.04,147.57,47.4,246.24,71.09,95.87,142.19,1047.66
1991 - 42G7,492.29,0.0,5.64,0.0,0.0,17.91,157.78,114.41,27.86,42.78,9.95,19.9,31.84,422.43
1991 - 42G9,3397.22,3007.07,226.34,70.31,210.0,85.47,243.59,153.05,185.85,257.41,75.53,64.6,53.67,1119.17
1991 - 42H0,1200.01,236.82,2.53,3.71,246.0,44.21,76.08,55.52,28.79,66.83,20.56,25.7,26.73,344.42
1991 - 43G7,1482.5,0.0,27.47,0.0,0.0,19.71,150.28,109.93,30.08,57.04,5.19,38.37,39.41,450.01
1991 - 43G9,2932.69,2010.66,217.25,96.23,53.0,32.09,151.4,95.25,140.37,169.65,46.12,33.09,19.05,687.02
1991 - 43H0,1984.53,1339.4,141.28,94.79,247.0,110.63,393.87,193.34,119.59,356.79,50.83,50.83,91.69,1367.57
1991 - 43H1,0.0,0.0,0.0,0.0,378.0,178.13,218.27,149.27,76.52,191.92,30.11,67.74,38.89,950.85
1991 - 44G7,2674.76,0.0,106.92,0.0,2.0,91.37,528.37,415.15,165.86,361.52,70.52,89.39,91.37,1813.55
1991 - 44H0,2761.22,1815.24,129.67,43.71,54.0,77.56,401.9,168.04,153.12,364.91,60.65,47.73,98.44,1372.35
1991 - 44H1,51.14,0.0,0.37,0.0,118.0,49.72,147.46,76.4,64.27,132.18,29.1,26.68,6.06,531.87
