,A43ml,A1ml,V43ml,V1ml,Age 0,Age 1,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8+,1+
1991 - 37G1,828.81,32.18,1.68,0.03,7.03,0.3,1.11,0.93,0.41,0.28,0.0,0.0,0.84,3.87
1991 - 37G2,4.0,0.0,0.0,0.0,129.26,45.61,52.4,38.76,15.53,11.99,1.63,4.08,4.29,174.29
1991 - 37G5,0.0,0.0,0.0,0.0,289.98,42.15,21.71,48.54,1.28,6.39,3.83,1.28,2.55,127.73
1991 - 38F9,0.0,0.0,0.0,0.0,502.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991 - 38G0,436.89,19.77,1.71,0.06,180.19,5.42,6.07,4.55,0.08,2.28,0.0,0.0,2.68,21.08
1991 - 38G1,3.99,0.0,0.0,0.0,78.59,2.36,2.65,1.98,0.04,0.99,0.0,0.0,1.17,9.19
1991 - 38G2,31.75,0.0,0.02,0.0,879.89,958.85,795.86,509.59,169.1,120.71,8.63,21.56,29.7,2614.0
1991 - 38G3,1683.64,859.51,14.43,1.43,362.64,2072.45,1058.74,577.4,176.47,78.15,0.0,0.0,20.86,3984.07
1991 - 38G4,591.01,55.36,2.7,0.03,571.94,470.91,227.01,130.2,43.75,21.49,0.0,0.0,2.79,896.15
1991 - 38G5,955.09,308.57,8.33,1.05,1220.63,283.18,206.57,369.37,20.52,53.35,12.32,4.11,8.21,957.63
1991 - 38G6,0.0,0.0,0.0,0.0,635.02,240.91,99.37,118.28,1.13,21.85,7.21,1.13,4.28,494.16
1991 - 38G8,55.68,0.0,0.26,0.0,361.59,735.66,271.46,255.03,9.13,60.26,4.26,0.0,4.26,1340.06
1991 - 38G9,1337.21,0.0,15.04,0.0,245.65,2237.96,403.63,331.06,4.89,65.19,8.63,0.0,68.94,3120.3
1991 - 39F9,15.78,0.0,0.05,0.0,3087.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991 - 39G0,207.42,0.0,0.85,0.0,122.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991 - 39G1,47.09,0.0,0.08,0.0,769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991 - 39G2,11.7,0.0,0.02,0.0,,,,,,,,,,
1991 - 39G3,1828.58,185.26,17.12,0.18,0.0,373.73,423.15,306.03,90.23,69.65,3.08,6.17,15.06,1287.1
1991 - 39G4,1926.34,0.0,19.7,0.0,,,,,,,,,,
1991 - 39G5,3106.7,1987.46,80.38,17.48,103.2,161.31,206.4,734.63,96.11,180.35,25.15,62.87,62.87,1529.69
1991 - 39G6,826.81,298.01,13.92,1.79,220.98,203.59,232.98,313.97,13.79,56.47,0.0,0.0,3.61,824.41
1991 - 39G7,1202.43,0.0,14.07,0.0,29.82,698.32,400.03,629.08,45.81,91.62,26.1,11.18,17.05,1919.19
1991 - 39G8,1509.65,23.41,19.69,0.07,199.09,872.23,360.01,335.86,5.12,86.35,5.12,6.58,11.71,1682.98
1991 - 39G9,2588.35,0.0,23.84,0.0,188.36,4826.3,1224.81,862.9,0.0,248.16,0.0,50.09,72.86,7285.12
1991 - 39H0,0.0,0.0,0.0,0.0,8190.68,1575.0,236.24,118.12,0.0,19.68,0.0,0.0,19.68,1968.72
1991 - 40F9,0.0,0.0,0.0,0.0,31.03,4.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43
1991 - 40G0,545.61,0.0,2.28,0.0,1300.71,185.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.82
1991 - 40G2,290.33,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991 - 40G4,571.91,7.78,7.37,0.0,0.0,1.78,63.69,90.16,85.56,44.03,47.63,18.79,51.22,402.86
1991 - 40G5,774.77,97.41,10.02,0.38,0.0,117.51,411.28,1469.75,117.51,440.66,88.13,88.13,205.64,2938.61
1991 - 40G6,447.52,3.9,3.9,0.0,0.0,101.32,379.95,1342.29,101.32,278.63,75.99,75.99,177.31,2532.8
1991 - 40G7,0.0,0.0,0.0,0.0,0.0,305.52,954.76,1489.32,190.95,343.71,114.57,152.76,267.33,3818.92
1991 - 40G8,2360.32,58.45,48.37,0.29,20.26,1386.43,946.36,770.64,8.47,123.86,8.47,32.82,4.23,3281.28
1991 - 40G9,1668.6,73.21,20.74,0.17,719.23,4309.57,1655.49,1018.27,30.32,175.86,0.0,0.0,84.9,7274.41
1991 - 40H0,0.0,0.0,0.0,0.0,7756.05,2707.41,413.91,346.0,0.0,101.88,10.1,0.0,0.0,3579.3
1991 - 41G7,0.0,0.0,0.0,0.0,0.0,11.6,43.48,152.74,11.6,31.89,8.7,8.7,20.29,289.0
1991 - 41G8,1779.87,49.62,58.24,0.12,75.51,863.24,1128.86,1392.13,75.26,188.14,75.26,37.63,0.0,3760.52
1991 - 41G9,2437.24,1108.15,101.98,8.74,628.97,2198.92,1049.95,826.5,33.34,129.18,19.44,9.72,38.9,4305.95
1991 - 41H0,87.48,0.0,0.0,0.0,2706.83,1573.55,549.15,339.45,9.05,60.34,0.0,0.0,33.19,2564.73
