,A43ml,A1ml,V43ml,V1ml
1979 - 35F9,0.0,0.0,0.0,0.0
1979 - 35G0,0.0,0.0,0.0,0.0
1979 - 35G1,0.0,0.0,0.0,0.0
1979 - 35G2,0.0,0.0,0.0,0.0
1979 - 35G3,0.0,0.0,0.0,0.0
1979 - 35G4,0.0,0.0,0.0,0.0
1979 - 35G5,0.0,0.0,0.0,0.0
1979 - 35G6,0.0,0.0,0.0,0.0
1979 - 35G7,0.0,0.0,0.0,0.0
1979 - 35G8,0.0,0.0,0.0,0.0
1979 - 35G9,0.0,0.0,0.0,0.0
1979 - 35H0,0.0,0.0,0.0,0.0
1979 - 35H1,0.0,0.0,0.0,0.0
1979 - 35H2,0.0,0.0,0.0,0.0
1979 - 35H3,0.0,0.0,0.0,0.0
1979 - 35H4,0.0,0.0,0.0,0.0
1979 - 35H5,0.0,0.0,0.0,0.0
1979 - 35H6,0.0,0.0,0.0,0.0
1979 - 35H7,0.0,0.0,0.0,0.0
1979 - 35H8,0.0,0.0,0.0,0.0
1979 - 35H9,0.0,0.0,0.0,0.0
1979 - 35I0,0.0,0.0,0.0,0.0
1979 - 36F9,0.0,0.0,0.0,0.0
1979 - 36G0,0.0,0.0,0.0,0.0
1979 - 36G1,0.0,0.0,0.0,0.0
1979 - 36G2,0.0,0.0,0.0,0.0
1979 - 36G3,0.0,0.0,0.0,0.0
1979 - 36G4,0.0,0.0,0.0,0.0
1979 - 36G5,0.0,0.0,0.0,0.0
1979 - 36G6,0.0,0.0,0.0,0.0
1979 - 36G7,0.0,0.0,0.0,0.0
1979 - 36G8,0.0,0.0,0.0,0.0
1979 - 36G9,0.0,0.0,0.0,0.0
1979 - 36H0,0.0,0.0,0.0,0.0
1979 - 36H1,0.0,0.0,0.0,0.0
1979 - 36H2,0.0,0.0,0.0,0.0
1979 - 36H3,0.0,0.0,0.0,0.0
1979 - 36H4,0.0,0.0,0.0,0.0
1979 - 36H5,0.0,0.0,0.0,0.0
1979 - 36H6,0.0,0.0,0.0,0.0
1979 - 36H7,0.0,0.0,0.0,0.0
1979 - 36H8,0.0,0.0,0.0,0.0
1979 - 36H9,0.0,0.0,0.0,0.0
1979 - 36I0,0.0,0.0,0.0,0.0
1979 - 37F9,0.0,0.0,0.0,0.0
1979 - 37G0,8.07,0.0,0.02,0.0
1979 - 37G1,161.22,0.0,0.33,0.0
1979 - 37G2,24.12,0.0,0.02,0.0
1979 - 37G3,0.0,0.0,0.0,0.0
1979 - 37G4,0.0,0.0,0.0,0.0
1979 - 37G5,0.0,0.0,0.0,0.0
1979 - 37G6,0.0,0.0,0.0,0.0
1979 - 37G7,0.0,0.0,0.0,0.0
1979 - 37G8,0.0,0.0,0.0,0.0
1979 - 37G9,0.0,0.0,0.0,0.0
1979 - 37H0,0.0,0.0,0.0,0.0
1979 - 37H1,0.0,0.0,0.0,0.0
1979 - 37H2,0.0,0.0,0.0,0.0
1979 - 37H3,0.0,0.0,0.0,0.0
1979 - 37H4,0.0,0.0,0.0,0.0
1979 - 37H5,0.0,0.0,0.0,0.0
1979 - 37H6,0.0,0.0,0.0,0.0
1979 - 37H7,0.0,0.0,0.0,0.0
1979 - 37H8,0.0,0.0,0.0,0.0
1979 - 37H9,0.0,0.0,0.0,0.0
1979 - 37I0,0.0,0.0,0.0,0.0
1979 - 38F9,0.0,0.0,0.0,0.0
1979 - 38G0,0.0,0.0,0.0,0.0
1979 - 38G1,0.0,0.0,0.0,0.0
1979 - 38G2,0.0,0.0,0.0,0.0
1979 - 38G3,930.16,0.0,7.53,0.0
1979 - 38G4,590.46,0.0,3.81,0.0
1979 - 38G5,2153.47,1419.27,36.43,9.29
1979 - 38G6,197.78,3.95,2.31,0.01
1979 - 38G7,0.0,0.0,0.0,0.0
1979 - 38G8,439.25,277.04,8.06,2.46
1979 - 38G9,387.66,387.66,10.41,6.34
1979 - 38H0,0.0,0.0,0.0,0.0
1979 - 38H1,0.0,0.0,0.0,0.0
1979 - 38H2,0.0,0.0,0.0,0.0
1979 - 38H3,0.0,0.0,0.0,0.0
1979 - 38H4,0.0,0.0,0.0,0.0
1979 - 38H5,0.0,0.0,0.0,0.0
1979 - 38H6,0.0,0.0,0.0,0.0
1979 - 38H7,0.0,0.0,0.0,0.0
1979 - 38H8,0.0,0.0,0.0,0.0
1979 - 38H9,0.0,0.0,0.0,0.0
1979 - 38I0,0.0,0.0,0.0,0.0
1979 - 39F9,0.0,0.0,0.0,0.0
1979 - 39G0,0.0,0.0,0.0,0.0
1979 - 39G1,0.0,0.0,0.0,0.0
1979 - 39G2,0.0,0.0,0.0,0.0
1979 - 39G3,299.69,35.49,1.32,0.03
1979 - 39G4,840.87,0.0,3.55,0.0
1979 - 39G5,2938.27,2066.46,89.14,24.44
1979 - 39G6,2279.49,733.5,36.99,6.26
1979 - 39G7,1199.63,0.0,12.71,0.0
1979 - 39G8,2905.93,1039.49,33.68,3.95
