,A43ml,A1ml,V43ml,V1ml,A>43ml,V>43ml,Total,Test
1986,0.0,1.0,0.0,1.0,0.0,0.0,49.0,1.0
1987,,,,,,,,
1988,0.0,1.0,0.0,1.0,0.0,0.0,9.0,1.0
1989,,,,,,,,
1990,0.0,1.0,0.0,1.0,0.0,0.0,19.0,1.0
1991,,,,,,,,
1992,,,,,,,,
1993,,,,,,,,
1994,,,,,,,,
1995,,,,,,,,
1996,,,,,,,,
1997,,,,,,,,
1998,,,,,,,,
1999,,,,,,,,
2000,,,,,,,,
2001,,,,,,,,
2002,,,,,,,,
2003,,,,,,,,
2004,,,,,,,,
2005,,,,,,,,
2006,0.0,1.0,0.0,1.0,0.0,0.0,146.0,1.0
2007,0.0037831021437578815,0.8877679697351829,0.0,0.8877679697351829,0.10844892812105927,0.11223203026481715,793.0,1.0
2008,0.0,1.0,0.0,1.0,0.0,0.0,874.0,1.0
2009,0.5701058201058201,0.4298941798941799,0.5701058201058201,0.4298941798941799,0.0,0.0,756.0,1.0
2010,0.17094017094017094,0.8290598290598291,0.17094017094017094,0.8290598290598291,0.0,0.0,468.0,1.0
2011,0.0,1.0,0.0,1.0,0.0,0.0,521.0,1.0
2012,0.088016967126193,0.911983032873807,0.088016967126193,0.911983032873807,0.0,0.0,943.0,1.0
2013,0.054777845404747415,0.8892270237370663,0.054777845404747415,0.8892270237370663,0.05599513085818624,0.05599513085818624,3286.0,1.0
2014,0.06699232379623168,0.8108862526168876,0.06699232379623168,0.8108862526168876,0.12212142358688068,0.12212142358688068,1433.0,1.0
2015,0.0,0.9810924369747899,0.0,0.9810924369747899,0.018907563025210083,0.018907563025210083,2380.0,1.0
2016,0.1108187134502924,0.8891812865497076,0.1108187134502924,0.8891812865497076,0.0,0.0,3420.0,1.0
2017,0.09064327485380116,0.9093567251461988,0.09064327485380116,0.9093567251461988,0.0,0.0,2394.0,1.0
2018,0.00825082508250825,0.9917491749174917,0.054455445544554455,0.9455445544554455,0.0,0.0,1212.0,1.0
