,A43ml,A1ml,V43ml,V1ml,A>43ml,V>43ml,Total,Test
1986,0.2631578947368421,0.7368421052631579,0.2631578947368421,0.7368421052631579,0.0,0.0,49.0,1.0
1987,,,,,,,,
1988,0.15789473684210525,0.7368421052631579,0.15789473684210525,0.7368421052631579,0.10526315789473684,0.10526315789473684,9.0,1.0
1989,,,,,,,,
1990,0.15789473684210525,0.5789473684210527,0.21052631578947367,0.5263157894736842,0.2631578947368421,0.2631578947368421,19.0,1.0
1991,,,,,,,,
1992,,,,,,,,
1993,,,,,,,,
1994,,,,,,,,
1995,,,,,,,,
1996,,,,,,,,
1997,,,,,,,,
1998,,,,,,,,
1999,,,,,,,,
2000,,,,,,,,
2001,,,,,,,,
2002,,,,,,,,
2003,,,,,,,,
2004,,,,,,,,
2005,,,,,,,,
2006,0.15789473684210525,0.8421052631578947,0.15789473684210525,0.8421052631578947,0.0,0.0,146.0,1.0
2007,0.05263157894736842,0.7368421052631579,0.0,0.7368421052631579,0.21052631578947367,0.2631578947368421,793.0,1.0
2008,0.21052631578947367,0.7368421052631579,0.15789473684210525,0.7368421052631579,0.05263157894736842,0.10526315789473684,874.0,1.0
2009,0.21052631578947367,0.631578947368421,0.21052631578947367,0.631578947368421,0.15789473684210525,0.15789473684210525,756.0,1.0
2010,0.05263157894736842,0.8947368421052632,0.05263157894736842,0.8947368421052632,0.05263157894736842,0.05263157894736842,468.0,1.0
2011,0.10526315789473684,0.8947368421052632,0.10526315789473684,0.8947368421052632,0.0,0.0,521.0,1.0
2012,0.10526315789473684,0.8947368421052632,0.10526315789473684,0.8947368421052632,0.0,0.0,943.0,1.0
2013,0.05263157894736842,0.8947368421052632,0.05263157894736842,0.8947368421052632,0.05263157894736842,0.05263157894736842,3286.0,1.0
2014,0.10526315789473684,0.7368421052631579,0.15789473684210525,0.6842105263157895,0.15789473684210525,0.15789473684210525,1433.0,1.0
2015,0.05263157894736842,0.8947368421052632,0.10526315789473684,0.8421052631578947,0.05263157894736842,0.05263157894736842,2380.0,1.0
2016,0.10526315789473684,0.8947368421052632,0.10526315789473684,0.8947368421052632,0.0,0.0,3420.0,1.0
2017,0.21052631578947367,0.7368421052631579,0.21052631578947367,0.7368421052631579,0.05263157894736842,0.05263157894736842,2394.0,1.0
2018,0.15789473684210525,0.8421052631578947,0.21052631578947367,0.7894736842105263,0.0,0.0,1212.0,1.0
