,A43ml,A1ml,V43ml,V1ml,Depth,Fishno,Lengthclass,Age,Weight,Maturity,Otolithno,Gutted weight (g),Mesh size : 16.0,Mesh size : 20.0,Mesh size : 90.0,Subdiv : 24,Subdiv : 25,Subdiv : 26,Subdiv : 27,Subdiv : 28,Sex : F,Sex : M,Decease : 0.0,Decease : 1.0,Decease : 2.0,Decease : 5.0,Aging method : 2.0
2013 - 40G4,1211.99,202.37,13.6,1.04,44.97117647058824,66.87941176470588,265.88235294117646,5.615615615615615,252.70294117647057,4.347058823529411,86.79705882352941,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5176470588235295,0.4823529411764706,0.0,0.0058823529411764705,0.0029411764705882353,0.008823529411764706,0.5617647058823529
2013 - 40G5,2081.8,836.62,30.98,6.01,54.60571428571428,17.355102040816327,263.6734693877551,4.950819672131147,290.54918032786884,3.8448979591836734,613.2571428571429,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6612244897959184,0.33877551020408164,0.004081632653061225,0.0,0.0,0.0,0.39591836734693875
2013 - 40G6,1622.35,944.55,19.79,4.91,55.83174603174605,15.563492063492063,290.0,4.709302325581396,359.23809523809524,4.301587301587301,944.1349206349206,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6825396825396826,0.31746031746031744,0.0,0.0,0.0,0.0,0.373015873015873
2013 - 40G7,136.19,0.0,1.93,0.0,54.13333333333333,2.6666666666666665,280.0,6.8,298.6666666666667,4.5,1275.5,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
2013 - 41G6,87.48,26.61,0.93,0.27,60.899999999999956,40.0,210.8860759493671,7.311111111111111,121.16455696202532,4.632911392405063,255.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4177215189873418,0.5822784810126582,0.0,0.0,0.0,0.0,0.0
2013 - 41G7,0.0,0.0,0.0,0.0,52.20454545454545,2.4545454545454546,298.6363636363636,9.2,350.54545454545456,4.545454545454546,1142.9545454545455,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6818181818181818,0.3181818181818182,0.0,0.0,0.0,0.0,0.13636363636363635
2013 - 41G8,1794.96,1534.62,64.34,34.59,67.89512195121952,66.1609756097561,251.7560975609756,7.411764705882353,190.39512195121952,5.326829268292683,1154.0536585365853,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.35609756097560974,0.6439024390243903,0.0,0.0,0.0,0.0,0.0
2013 - 42G6,174.43,79.66,2.37,0.7,66.46590038314176,45.735632183908045,236.24521072796935,7.663793103448276,160.20689655172413,4.946360153256705,425.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.41762452107279696,0.5823754789272031,0.0,0.0,0.0,0.0,0.0
2013 - 43G6,133.43,29.62,0.75,0.09,43.59999999999999,23.0,228.22222222222223,8.0,161.0222222222222,4.7555555555555555,578.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4444444444444444,0.5555555555555556,0.0,0.0,0.0,0.0,0.0
2013 - 43G7,2224.37,1747.31,54.86,34.25,73.99538461538461,12.2,296.7692307692308,8.5,324.12307692307695,4.446153846153846,763.6461538461539,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7230769230769231,0.27692307692307694,0.0,0.0,0.0,0.0,0.0
2013 - 43G8,142.22,101.09,3.25,1.72,46.921126760563375,16.169014084507044,239.57746478873239,8.02,216.83098591549296,3.2535211267605635,800.4507042253521,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7323943661971831,0.2676056338028169,0.0,0.0,0.0,0.0,0.5633802816901409
2013 - 43G9,2976.88,2795.01,238.83,190.46,74.01481481481481,6.444444444444445,285.18518518518516,8.272727272727273,302.5925925925926,4.296296296296297,987.2962962962963,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7407407407407407,0.25925925925925924,0.0,0.0,0.0,0.0,0.0
2013 - 44G9,1962.64,1687.11,86.33,63.3,51.31121856866538,66.52611218568666,239.59381044487426,9.482456140350877,174.63829787234042,4.506769825918762,650.6247582205029,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.32108317214700194,0.6789168278529981,0.0,0.0,0.0,0.0,0.5377176015473888
2013 - 45G9,2373.1,2199.16,125.4,99.62,76.52247191011236,34.61797752808989,251.79775280898878,7.606741573033708,196.53932584269663,5.056179775280899,688.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4943820224719101,0.5056179775280899,0.0,0.0,0.0,0.0,0.0
2014 - 40G4,769.61,73.9,10.54,0.4,56.32616033755274,36.60337552742616,279.28270042194094,4.991379310344827,282.36708860759495,4.949367088607595,240.40928270042195,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5316455696202531,0.46835443037974683,0.0,0.004219409282700422,0.0,0.008438818565400843,0.0
