,A43ml,A1ml,V43ml,V1ml,Depth,Length,Weight,Gutted weight,Age,Maturity,Gonad weight,Liver weight,Stomach content,perc.stomachcontent,Prey size,Prey weight,Prey nr,Sex : F,Sex : M,Gall bladder : 0.0,Gall bladder : 1.0,Gall bladder : 2.0,Gall bladder : 3.0,Gall bladder : 4.0,n.full : 1.0,n.regurgitated : 1.0,n.skeletal : 1.0,n.empty : 1.0,Prey species : Algae,Prey species : Ammodytidae,Prey species : Amphipoda,Prey species : Anguilla anguilla,Prey species : Annelida,Prey species : Bivalvia,Prey species : Bylgides sarsi,Prey species : Carbon,Prey species : Clupea harengus,Prey species : Clupeidae,Prey species : Copepoda,Prey species : Corophium volutator,Prey species : Crangon crangon,Prey species : Crustacea,Prey species : Cumacea,Prey species : Diastylis rathkei,Prey species : Empty,Prey species : Enchelyopus cimbrius,Prey species : Gadidae,Prey species : Gadus morhua,Prey species : Gammarus sp.,Prey species : Gasterosteus aculeatus,Prey species : Gobiidae,Prey species : Gobius niger,Prey species : Halicryptus,Prey species : Halicryptus spinulosus,Prey species : Hyperia galba,Prey species : Idotea balthica,Prey species : Limecola balthica,Prey species : Merlangius merlangus,Prey species : Mollusca,Prey species : Monoporeia affinis,Prey species : Mysidae,Prey species : Mysis mixta,Prey species : Mysis relicta,Prey species : Mytilus sp.,Prey species : Neomysis integer,Prey species : Palaemon sp.,Prey species : Pectinaria sp.,Prey species : Pisces,Prey species : Pisces Eggs,Prey species : Platichthys flesus,Prey species : Pleuronectes platessa,Prey species : Pleuronectidae,Prey species : Pomatoschistus minutus,Prey species : Pontoporeia femorata,Prey species : Pontoporeia sp.,Prey species : Praunus flexuosus,Prey species : Priapulida,Prey species : Priapulidae,Prey species : Priapulus caudatus,Prey species : Pungitius pungitius,Prey species : Remains,Prey species : Saduria entomon,Prey species : Scales,Prey species : Scoloplos armiger,Prey species : Spinachia spinachia,Prey species : Spine,Prey species : Sprattus sprattus,Prey species : Stone,Prey species : Terebellides stroemii,Prey species : Trachurus trachurus,Prey species : Unidentified mass,Prey species : Waste,Prey species : Wood,Prey species : Zoarces viviparus,Prey species : digestive tract,Prey species : litter,Prey species : plastic,Prey species : sprattus sprattus,Stage digestion : 0.0,Stage digestion : 1.0,Stage digestion : 2.0
1986 - 40G8,3278.82,70.09,97.43,0.15,,50.244897959183675,,,,,,,23.19326530612245,,,15.482653061224488,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.1836734693877551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12244897959183673,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.5918367346938775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988 - 40G8,2829.37,210.1,60.78,0.98,,55.0,,,,,,,20.224444444444444,,,15.519999999999998,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990 - 40G8,2546.43,297.01,49.28,1.29,,64.25,,,,,,,43.63833333333333,,,34.598333333333336,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990 - 43G9,2873.31,2189.51,204.49,121.6,,58.857142857142854,,,,,,,30.45,,,24.351428571428574,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006 - 41G8,2009.96,1627.59,77.38,35.94,,36.52739726027397,,,,,,,2.0680136986301365,,,1.3944520547945203,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684931506849315,0.0,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00684931506849315,0.0,0.0,0.0,0.02054794520547945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.2054794520547945,0.0,0.0,0.00684931506849315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00684931506849315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02054794520547945,0.0,0.0,0.0,0.0,0.02054794520547945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007 - 39G4,1521.46,445.93,12.44,2.17,,43.27906976744186,1005.5116279069767,,,,,,35.56697674418605,12.25302325581395,,18.100000000000005,,0.6976744186046512,0.3023255813953488,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13953488372093023,0.046511627906976744,0.0,0.0,0.0,0.0,0.046511627906976744,0.0,0.0,0.046511627906976744,0.0,0.09302325581395349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11627906976744186,0.0,0.0,0.0,0.0,0.27906976744186046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007 - 40G4,525.2,225.82,5.97,1.36,,33.92429022082019,467.74763406940065,,,,,,14.473596214511039,3.626845425867508,,5.9782018927444796,,0.47634069400630913,0.5236593059936908,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031545741324921135,0.11356466876971609,0.0,0.07255520504731862,0.01892744479495268,0.0,0.0,0.0,0.0,0.1892744479495268,0.0,0.0,0.0,0.0,0.006309148264984227,0.0,0.0,0.0,0.0,0.0,0.0914826498422713,0.0,0.0,0.022082018927444796,0.0,0.0,0.0,0.0031545741324921135,0.031545741324921134,0.0,0.0,0.0,0.0,0.0,0.0946372239747634,0.0,0.0,0.0,0.0,0.0,0.028391167192429023,0.0,0.0,0.0,0.0,0.0031545741324921135,0.0,0.0,0.22397476340694006,0.0,0.0,0.0,0.0,0.0914826498422713,0.006309148264984227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007 - 40G5,249.25,101.3,3.49,1.12,,37.91304347826087,1115.4565217391305,,,,,,46.25611956521738,1.8125,,19.899467391304345,,0.532608695652174,0.4673913043478261,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20652173913043478,0.0,0.09782608695652174,0.0,0.0,0.010869565217391304,0.0,0.0,0.18478260869565216,0.0,0.0,0.0,0.0,0.03260869565217391,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.010869565217391304,0.0,0.0,0.0,0.0,0.0,0.03260869565217391,0.0,0.0,0.0,0.0,0.0,0.010869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20652173913043478,0.0,0.0,0.0,0.0,0.15217391304347827,0.010869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007 - 40G6,0.0,0.0,0.0,0.0,,44.90243902439025,1514.1463414634147,,,,,,45.099999999999994,1.9728048780487804,,18.337439024390243,,0.5609756097560976,0.4268292682926829,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2073170731707317,0.0,0.17073170731707318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036585365853658534,0.036585365853658534,0.0,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012195121951219513,0.012195121951219513,0.12195121951219512,0.0,0.0,0.012195121951219513,0.0,0.0,0.0975609756097561,0.0,0.0,0.0,0.0,0.0,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21951219512195122,0.0,0.0,0.0,0.0,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007 - 40G7,3.9,0.0,0.0,0.0,,63.0,1612.0,,,,,,34.54,2.14,,11.513333333333334,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
