,A43ml,A1ml,V43ml,V1ml,Depth,Fishno,Lengthclass,Age,Weight,Maturity,Otolithno,Liver weight (mg),Gonad weight (mg),Gutted weight (g),Dna number,Liver weight roundfish (g),Gonad weight roundfish (g),Mesh size : 16.0,Mesh size : 20.0,Mesh size : 90.0,Subdiv : 24,Subdiv : 25,Subdiv : 26,Subdiv : 27,Subdiv : 28,Age quality : 1.0,Age quality : 2.0,Age quality : 3.0,Age quality : 4.0,Sex : F,Sex : M,Gall content : 1.0,Gall content : 2.0,Gall content : 3.0,Gall content : 4.0,Stomach state : 1.0,Stomach state : 2.0,Maturity nephrop : 1000.0,Nematodes in liver : 0.0,Nematodes in liver : 1.0,Nematodes in liver : 2.0,Nematodes in liver : 3.0
2013 - 40G4,1211.99,202.37,13.6,1.04,50.346925566343046,29.831715210355988,310.9061488673139,2.533980582524272,338.75080906148867,2.5596026490066226,70.62893081761007,18087.162162162163,11739.864864864865,356.0133333333333,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.23300970873786409,0.6990291262135923,0.06796116504854369,0.0,0.5372168284789643,0.4401294498381877,0.09385113268608414,0.1715210355987055,0.10679611650485436,0.10679611650485436,0.47896440129449835,0.009708737864077669,0.0,0.0,0.0,0.0,0.0
2013 - 40G5,2081.8,836.62,30.98,6.01,55.96467391304347,24.95923913043478,291.95652173913044,2.4972826086956523,317.8016304347826,2.7671641791044777,480.63309352517985,19903.636363636364,12192.517857142857,381.31531531531533,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3016304347826087,0.6168478260869565,0.08152173913043478,0.0,0.48641304347826086,0.42391304347826086,0.07608695652173914,0.125,0.07880434782608696,0.02717391304347826,0.29891304347826086,0.008152173913043478,0.0,0.0,0.0,0.0,0.0
2013 - 40G6,1622.35,944.55,19.79,4.91,56.310101010101015,30.54040404040404,333.93939393939394,2.8071065989847717,407.74242424242425,2.954314720812183,575.8285714285714,26474.626865671642,16561.53846153846,467.6865671641791,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1919191919191919,0.702020202020202,0.10101010101010101,0.005050505050505051,0.5303030303030303,0.46464646464646464,0.08585858585858586,0.09595959595959595,0.09090909090909091,0.06565656565656566,0.3383838383838384,0.0,0.0,0.0,0.0,0.0,0.0
2013 - 40G7,136.19,0.0,1.93,0.0,55.26153846153847,24.576923076923077,280.5769230769231,2.423076923076923,255.96153846153845,2.836734693877551,681.9,18245.833333333332,19916.666666666668,272.75,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19230769230769232,0.8076923076923077,0.0,0.0,0.6153846153846154,0.3269230769230769,0.25,0.19230769230769232,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013 - 41G6,87.48,26.61,0.93,0.27,60.9,2.0,173.33333333333334,1.3333333333333333,58.666666666666664,2.5,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013 - 41G7,0.0,0.0,0.0,0.0,57.21417322834647,18.338582677165356,257.40157480314963,2.15748031496063,246.69291338582678,2.3846153846153846,716.48,21412.0,14613.636363636364,332.2307692307692,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3700787401574803,0.6220472440944882,0.007874015748031496,0.0,0.5118110236220472,0.30708661417322836,0.07086614173228346,0.07874015748031496,0.023622047244094488,0.031496062992125984,0.2047244094488189,0.0,0.0,0.0,0.0,0.0,0.0
2013 - 41G8,1794.96,1534.62,64.34,34.59,61.57317073170733,11.24390243902439,196.58536585365854,1.7317073170731707,107.92682926829268,2.888888888888889,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3902439024390244,0.6097560975609756,0.0,0.0,0.1951219512195122,0.4634146341463415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013 - 42G6,174.43,79.66,2.37,0.7,71.27283950617282,27.419753086419753,278.641975308642,2.580246913580247,258.4320987654321,2.8289473684210527,242.0,12837.142857142857,18313.043478260868,238.69014084507043,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2716049382716049,0.7037037037037037,0.024691358024691357,0.0,0.41975308641975306,0.5185185185185185,0.2962962962962963,0.25925925925925924,0.20987654320987653,0.07407407407407407,0.8641975308641975,0.024691358024691357,0.0,0.0,0.0,0.0,0.0
2013 - 43G6,133.43,29.62,0.75,0.09,43.60000000000001,8.0,303.3333333333333,2.7333333333333334,264.8,2.8666666666666667,290.0,13353.333333333334,9406.666666666666,219.13333333333333,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.8,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4,0.26666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2013 - 43G7,2224.37,1747.31,54.86,34.25,80.52592592592595,38.98148148148148,247.3148148148148,2.3333333333333335,155.77777777777777,2.462962962962963,516.1981132075472,6458.490566037736,9355.66037735849,131.3679245283019,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.14814814814814814,0.8518518518518519,0.0,0.0,0.37962962962962965,0.6203703703703703,0.2222222222222222,0.25,0.25925925925925924,0.17592592592592593,0.9074074074074074,0.06481481481481481,0.0,0.0,0.0,0.0,0.0
