,A43ml,A1ml,V43ml,V1ml,Depth,Kg/hour,Tot. no./hour,Lengthclass,No./hour
2013 - 40G4,1211.99,202.37,13.6,1.04,50.19999999999999,1099.3175495495495,5205.505405405406,325.4954954954955,177.05180180180182
2013 - 40G5,2081.8,836.62,30.98,6.01,55.7111111111111,435.94453703703715,2323.122222222222,295.8024691358025,73.79753086419754
2013 - 40G6,1622.35,944.55,19.79,4.91,56.752803738317766,1646.0062242990648,9489.710747663552,330.23364485981307,347.53831775700934
2013 - 40G7,136.19,0.0,1.93,0.0,53.888888888888886,61.42586111111112,253.1694444444444,278.3333333333333,9.019444444444446
2013 - 41G6,87.48,26.61,0.93,0.27,60.9,0.34800000000000003,6.0,173.33333333333334,2.0
2013 - 41G7,0.0,0.0,0.0,0.0,52.756756756756765,169.42162162162157,1042.8445945945946,277.77027027027026,38.15135135135135
2013 - 41G8,1794.96,1534.62,64.34,34.59,62.12222222222221,4.2128148148148155,43.333333333333336,217.03703703703704,3.3333333333333335
2013 - 42G6,174.43,79.66,2.37,0.7,70.17380952380952,39.154285714285706,252.38095238095238,284.5238095238095,9.571428571428571
2013 - 43G6,133.43,29.62,0.75,0.09,43.6,7.699999999999999,30.0,296.6666666666667,3.3333333333333335
2013 - 43G7,2224.37,1747.31,54.86,34.25,74.3235294117647,35.25470588235294,307.4117647058824,282.94117647058823,15.941176470588236
2013 - 43G8,142.22,101.09,3.25,1.72,47.26,49.69546666666667,284.0,286.8333333333333,9.6
2013 - 43G9,2976.88,2795.01,238.83,190.46,71.70961538461539,38.86915384615384,254.73076923076923,295.5769230769231,7.961538461538462
2013 - 44G9,1962.64,1687.11,86.33,63.3,53.93374999999999,51.83022784810126,484.65822784810126,246.45569620253164,20.27848101265823
2013 - 45G9,2373.1,2199.16,125.4,99.62,76.0,8.814799999999996,63.4,217.5,3.7
2014 - 39G4,1577.86,0.0,16.85,0.0,63.98421052631581,1972.6961052631577,7135.652631578945,334.07894736842104,180.91447368421052
2014 - 40G4,769.61,73.9,10.54,0.4,47.466183574879224,2425.7552367149756,11216.728985507241,327.1014492753623,340.6458937198068
2014 - 40G5,1946.43,1314.72,35.4,8.23,55.01043478260869,658.1899217391306,3583.987826086958,301.0869565217391,126.49739130434783
2014 - 40G6,1156.64,575.69,20.5,2.12,57.670192307692304,417.0724711538461,2304.105769230769,306.53846153846155,76.76153846153846
2014 - 40G7,0.0,0.0,0.0,0.0,58.244067796610175,153.15322033898303,924.6525423728814,287.1186440677966,33.28305084745762
2014 - 41G6,38.21,0.0,0.14,0.0,70.39142857142858,228.39085714285713,828.0571428571428,338.0,25.2
2014 - 41G7,0.0,0.0,0.0,0.0,53.400000000000006,323.1403832335329,1480.0562874251498,304.49101796407183,46.94670658682635
2014 - 41G8,1864.18,805.17,70.24,10.15,62.732142857142854,13.492500000000001,51.785714285714285,296.42857142857144,3.5
2014 - 42G6,159.23,53.07,1.63,0.27,66.755,179.514525,956.58125,296.375,34.48125
2014 - 42G7,2409.62,1389.98,49.53,20.43,68.55833333333332,25.82533333333334,95.0,307.22222222222223,4.666666666666667
2014 - 43G7,2123.48,1788.1,61.94,37.39,71.93478260869566,22.49008695652174,99.65217391304348,300.0,5.913043478260869
2014 - 43G8,153.33,104.75,3.46,1.83,42.63571428571428,15.458761904761904,60.76190476190476,285.23809523809524,3.238095238095238
2014 - 43G9,3007.02,2877.11,242.01,155.84,67.0,345.628,2028.6,300.3125,63.3875
2014 - 44G9,1929.46,1469.0,92.19,46.75,52.872727272727275,9.832113636363635,45.4,273.6363636363636,3.0181818181818185
2014 - 45G9,2409.22,2213.66,131.53,103.64,74.60000000000001,4.732,44.0,223.84615384615384,3.3846153846153846
2015 - 39G4,1427.76,191.41,15.26,0.88,60.3,1605.7600000000002,5746.700000000001,373.2352941176471,169.02647058823527
2015 - 40G4,723.16,229.65,10.17,1.42,49.91653846153846,597.8990769230769,2015.7673076923072,345.84615384615387,64.15
2015 - 40G5,2023.69,1093.18,35.19,6.85,58.02218844984803,427.69215805471134,1872.2972644376898,320.54711246200606,56.18054711246201
